DateTime,SerialNum,Operator,Trial,Serial,CharName,X Pos,Y Pos,Z Pos,TP Measure,Diameter,Length,PassTP,PassDiameter,PassLength,PassTot
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C2_3,-48.127,95.77,0,0.283,6.989,10.883,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4A,-99.079,-12.134,0,0.079,7.896,0,TRUE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4B,-99.059,-108.026,0,0.097,7.906,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4C,-84.251,-182.982,0,0.105,8.042,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4D,-28.86,-182.994,0,0.081,7.948,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4E,-28.811,-108.008,0,0.179,7.95,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4F,-28.833,-12.107,0,0.135,7.932,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4G,-28.876,97.906,0,0.049,7.91,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C4H,-99.029,97.86,0,0.163,7.836,0,TRUE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C11,-48.121,-180.85,0,0.187,7.006,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C13A,-65.297,91.813,0,0.026,6.778,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C13B,-90.596,-123.189,0,0.072,6.736,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C17A,65.757,-285.419,0,0.876,43.044,0,FALSE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C17B,65.842,274.149,0,0.82,42.987,0,FALSE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C18A,65.66,-285.056,0,0.127,36.321,0,TRUE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C18B,65.947,274.189,0,0.887,36.525,0,FALSE,FALSE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C26A,0,345.009,35.243,1.415,7.226,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C26B,0,119.945,35.744,0.426,7.272,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C26C,0,-194.982,35.848,0.206,7.194,0,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C26D,0,-345.05,35.258,1.388,7.21,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C27A,0,314.004,35.468,1.065,10.022,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C27B,0,245.48,35.555,0.89,10.03,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C27C,0,-245.497,35.705,0.589,10.042,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C27D,0,-313.988,35.388,1.225,10.05,0,FALSE,TRUE,TRUE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C31A,0,0,0,0,0,0.04,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C37A,0,0,0,0,0,3.373,TRUE,TRUE,FALSE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C50A,0,0,0,0,0,0.103,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C31B,0,0,0,0,0,0.033,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C37B,0,0,0,0,0,3.365,TRUE,TRUE,FALSE,FALSE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C50B,0,0,0,0,0,0.121,TRUE,TRUE,TRUE,TRUE
06324_131250,EXT1C0070008018000277700000063332611A,1,1,063,C52,0,0,0,0,1.26415,7.57902,TRUE,TRUE,TRUE,TRUE
06324_131539,EXT1C0070008018000277700000064334111A,1,1,064,C2_3,-48.296,95.761,0,0.152,7.08,11.018,TRUE,FALSE,TRUE,FALSE
06324_131539,EXT1C0070008018000277700000064334111A,1,1,064,C4A,-99.309,-12.103,0,0.418,7.966,0,TRUE,TRUE,TRUE,TRUE
06324_131539,EXT1C0070008018000277700000064334111A,1,1,064,C4B,-99.324,-108.019,0,0.449,7.91,0,TRUE,TRUE,TRUE,TRUE
06324_131539,EXT1C0070008018000277700000064334111A,1,1,064,C4C,-84.511,-182.972,0,0.426,7.95,0,TRUE,TRUE,TRUE,TRUE
