Operators,Trials,SN,C2_3_TP,C4A_TP,C4B_TP,C4C_TP,C4D_TP,C4E_TP,C4F_TP,C4G_TP,C4H_TP,C11_TP,C13A_TP,C13B_TP,C17A_TP,C17B_TP,C18A_TP,C18B_TP,C26A_TP,C26B_TP,C26C_TP,C26D_TP,C27A_TP,C27B_TP,C27C_TP,C27D_TP,C31A_TP,C37A_TP,C50A_TP,C31B_TP,C37B_TP,C50B_TP,C52_TP
1,1,063,0.283,0.079,0.097,0.105,0.081,0.179,0.135,0.049,0.163,0.187,0.026,0.072,0.876,0.82,0.127,0.887,1.415,0.426,0.206,1.388,1.065,0.89,0.589,1.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,063,0.265,0.089,0.108,0.097,0.084,0.16,0.13,0.046,0.155,0.19,0.019,0.077,0.344,1.115,0.44,1.585,1.411,0.45,0.192,1.391,1.069,0.884,0.589,1.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,063,0.292,0.068,0.096,0.101,0.085,0.165,0.149,0.059,0.15,0.189,0.056,0.078,0.288,0.236,0.414,0.957,1.437,0.468,0.222,1.392,1.065,0.886,0.563,1.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,064,0.153,0.431,0.453,0.431,0.36,0.403,0.3,0.31,0.335,0.298,0.457,0.521,0.376,0.232,0.423,0.382,0.842,0.426,0.213,0.444,0.881,0.654,0.165,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,064,0.162,0.442,0.46,0.447,0.377,0.404,0.317,0.324,0.356,0.319,0.461,0.528,0.387,0.23,0.424,0.374,0.838,0.423,0.212,0.47,0.838,0.641,0.163,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,064,0.152,0.418,0.449,0.426,0.362,0.397,0.294,0.318,0.354,0.295,0.469,0.511,0.376,0.229,0.43,0.397,0.796,0.401,0.175,0.443,0.861,0.614,0.207,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,075,0.03,0.444,0.468,0.344,0.317,0.321,0.34,0.312,0.329,0.224,0.346,0.445,0.327,0.217,0.312,0.376,0.963,0.734,0.576,0.963,0.687,0.394,0.473,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,075,0.03,0.441,0.458,0.322,0.297,0.308,0.333,0.302,0.3,0.203,0.346,0.433,0.306,0.221,0.304,0.383,0.996,0.762,0.586,0.973,0.685,0.397,0.466,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,075,0.04,0.427,0.44,0.339,0.304,0.308,0.328,0.318,0.317,0.202,0.361,0.441,0.306,0.206,0.303,0.375,0.947,0.751,0.597,0.957,0.679,0.403,0.465,0.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,197,0.075,0.424,0.387,0.269,0.114,0.16,0.149,0.184,0.322,0.146,0.326,0.433,0.224,0.18,0.263,0.373,1.213,0.983,0.369,0.279,1.221,1.111,0.553,1.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,197,0.106,0.424,0.382,0.26,0.114,0.145,0.132,0.174,0.323,0.145,0.326,0.438,0.231,0.208,0.256,0.336,1.255,1.006,0.401,0.324,1.247,1.153,0.58,1.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,197,0.12,0.418,0.392,0.271,0.113,0.161,0.117,0.188,0.335,0.149,0.334,0.444,0.239,0.221,0.251,0.344,1.218,0.986,0.381,0.249,1.222,1.12,0.555,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,206,0.155,0.475,0.437,0.292,0.173,0.283,0.212,0.339,0.414,0.189,0.416,0.475,0.286,0.361,0.33,0.499,0.711,0.548,0.086,0.191,0.683,0.636,0.165,1.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
